latitude,longitude
-9.7335,-67.3483
-9.7361,-67.3509
-9.7369,-67.3596
-9.7352,-67.3627
-9.7232,-67.3729
-9.7231,-67.3778
-9.7260,-67.3810
-9.7478,-67.3860
-9.7710,-67.3858
-9.7763,-67.3906
-9.7760,-67.4030
-9.7798,-67.4085
-9.7865,-67.4121
-9.8022,-67.4102
-9.8157,-67.4124
-9.8248,-67.4181
-9.8269,-67.4216
-9.8270,-67.4270
-9.8332,-67.4317
-9.8554,-67.4338
-9.8587,-67.4378
-9.8675,-67.4399
-9.8755,-67.4359
-9.8887,-67.4351
-9.8950,-67.4412
-9.9024,-67.4444
-9.9053,-67.4503
-9.9145,-67.4481
-9.9179,-67.4488
-9.9244,-67.4564
-9.9329,-67.4631
-9.9411,-67.4615
-9.9514,-67.4683
-9.9614,-67.4668
-9.9664,-67.4677
-9.9679,-67.4687
-9.9642,-67.4726
-9.9620,-67.4805
-9.9654,-67.4953
-9.9695,-67.4975
-9.9726,-67.4964
-9.9789,-67.4982
-9.9837,-67.4970
-9.9985,-67.5028
-10.0115,-67.5015
-10.0215,-67.5063
-10.0244,-67.5173
-10.0232,-67.5272
-10.0250,-67.5317
-10.0381,-67.5390
-10.0497,-67.5579
-10.0652,-67.5737
-10.0680,-67.5829
-10.0758,-67.5893
-10.0812,-67.5978
-10.0897,-67.5982
-10.0930,-67.6058
-10.0984,-67.6100
-10.1012,-67.6103
-10.1040,-67.6160
-10.1010,-67.6180
-10.1041,-67.6237
-10.0935,-67.6296
-10.0890,-67.6363
-10.0890,-67.6390
-10.0911,-67.6471
-10.0961,-67.6478
-10.1053,-67.6464
-10.1122,-67.6514
-10.1138,-67.6603
-10.1074,-67.6669
-10.1104,-67.6778
-10.1196,-67.6897
-10.1263,-67.6929
-10.1402,-67.7055
-10.1514,-67.7127
-10.1637,-67.7262
-10.1673,-67.7234
-10.1739,-67.7219
-10.1785,-67.7238
-10.1827,-67.7219
-10.1870,-67.7237
-10.1909,-67.7229
-10.1984,-67.7158
-10.2010,-67.7093
-10.2087,-67.7020
-10.2217,-67.7007
-10.2331,-67.7072
-10.2573,-67.7079
-10.2682,-67.7123
-10.2785,-67.7057
-10.2821,-67.6976
-10.2955,-67.6920
-10.3054,-67.6933
-10.3166,-67.6917
-10.3247,-67.6889
-10.3358,-67.6881
-10.3573,-67.6806
-10.3612,-67.6825
-10.3626,-67.6874
-10.3587,-67.7064
-10.3594,-67.7112
-10.3623,-67.7153
-10.3760,-67.7112
-10.4031,-67.7110
-10.4123,-67.7125
-10.4200,-67.7159
-10.4232,-67.7303
-10.4258,-67.7333
-10.4295,-67.7340
-10.4337,-67.7304
-10.4442,-67.7296
-10.4517,-67.7245
-10.4572,-67.7229
-10.4581,-67.7161
-10.4637,-67.7104
-10.4640,-67.7023
-10.4612,-67.6978
-10.4629,-67.6949
-10.4805,-67.6883
-10.4846,-67.6794
-10.4928,-67.6731
-10.5158,-67.6695
-10.5243,-67.6611
-10.5345,-67.6628
-10.5384,-67.6741
-10.5444,-67.6790
-10.5488,-67.6789
-10.5563,-67.6751
-10.5666,-67.6746
-10.5758,-67.6763
-10.5883,-67.6811
-10.5966,-67.6786
-10.5996,-67.6805
-10.6053,-67.6865
-10.6045,-67.6941
-10.6070,-67.7002
-10.6072,-67.7088
-10.6022,-67.7172
-10.6029,-67.7227
-10.6094,-67.7361
-10.6086,-67.7420
-10.6054,-67.7478
-10.6088,-67.7523
-10.6181,-67.7555
-10.6204,-67.7578
-10.6187,-67.7723
-10.6095,-67.7843
-10.6085,-67.7881
-10.6121,-67.7963
-10.6184,-67.7987
-10.6241,-67.8145
-10.6205,-67.8208
-10.6163,-67.8218
-10.6067,-67.8203
-10.5937,-67.8293
-10.5845,-67.8325
-10.5753,-67.8336
-10.5720,-67.8378
-10.5740,-67.8442
-10.5816,-67.8441
-10.5836,-67.8464
-10.5872,-67.8796
-10.6044,-67.9020
-10.6065,-67.9140
-10.6095,-67.9170
-10.6084,-67.9302
-10.5999,-67.9446
-10.5986,-67.9596
-10.5907,-67.9722
-10.5896,-67.9783
-10.5918,-67.9800
-10.5960,-67.9888
-10.5987,-68.0115
-10.6005,-68.0164
-10.6095,-68.0242
-10.6125,-68.0308
-10.6243,-68.0444
-10.6270,-68.0545
-10.6251,-68.0625
-10.6205,-68.0692
-10.6204,-68.0787
-10.6306,-68.0836
-10.6418,-68.0811
-10.6531,-68.0871
-10.6712,-68.1108
-10.6820,-68.1187
-10.6813,-68.1217
-10.6846,-68.1278
-10.6968,-68.1410
-10.7018,-68.1495
-10.7047,-68.1595
-10.7139,-68.1694
-10.7156,-68.1732
-10.7070,-68.1887
-10.7098,-68.1957
-10.7102,-68.2053
-10.7001,-68.2171
-10.6995,-68.2237
-10.6918,-68.2310
-10.6911,-68.2380
-10.6815,-68.2408
-10.6736,-68.2497
-10.6672,-68.2723
-10.6716,-68.2875
-10.6739,-68.3168
-10.6806,-68.3316
-10.6800,-68.3417
-10.6832,-68.3524
-10.6877,-68.3588
-10.6942,-68.3607
-10.6963,-68.3631
-10.6962,-68.3703
-10.7033,-68.3904
-10.7023,-68.3978
-10.7047,-68.4067
-10.7149,-68.4138
-10.7191,-68.4200
-10.7253,-68.4229
-10.7270,-68.4303
-10.7373,-68.4339
-10.7487,-68.4324
-10.7583,-68.4343
-10.7856,-68.4516
-10.8115,-68.4545
-10.8264,-68.4659
-10.8391,-68.4816
-10.8654,-68.4906
-10.8786,-68.5032
-10.8823,-68.5200
-10.8860,-68.5218
-10.8927,-68.5294
-10.9012,-68.5427
-10.9246,-68.5567
-10.9392,-68.5620
-10.9470,-68.5595
-10.9651,-68.5614
-10.9766,-68.5690
-10.9891,-68.5668
-11.0002,-68.5699
-11.0098,-68.5674
-11.0195,-68.5679
-11.0196,-68.5602
-11.0246,-68.5529
-11.0368,-68.5472
-11.0425,-68.5467
-11.0505,-68.5419
-11.0588,-68.5409
-11.0632,-68.5431
-11.0671,-68.5497
-11.0709,-68.5521
-11.0806,-68.5503
-11.0891,-68.5518
-11.0966,-68.5512
-11.1145,-68.5587
-11.1288,-68.5686
-11.1368,-68.5829
-11.1546,-68.5898
-11.1595,-68.5967
-11.1621,-68.6052
-11.1748,-68.6039
-11.1775,-68.6096
-11.1770,-68.6145
-11.1670,-68.6270
-11.1515,-68.6222
-11.1474,-68.6241
-11.1380,-68.6350
-11.1360,-68.6515
-11.1404,-68.6624
-11.1465,-68.6700
-11.1488,-68.6877
-11.1620,-68.7040
-11.1715,-68.7031
-11.1730,-68.7122
-11.1783,-68.7207
-11.1886,-68.7321
-11.2045,-68.7411
-11.2031,-68.7512
-11.2136,-68.7639
-11.2105,-68.7675
-11.2104,-68.7702
-11.2120,-68.7712
-11.2086,-68.7735
-11.1984,-68.7773
-11.1908,-68.7758
-11.1869,-68.7776
-11.1829,-68.7870
-11.1845,-68.7977
-11.1741,-68.8047
-11.1789,-68.8134
-11.1791,-68.8172
-11.1776,-68.8224
-11.1720,-68.8295
-11.1658,-68.8426
